model,doc_id,prompt_chars,abstract_chars,ok,wall_s,prompt_tokens,output_tokens,total_duration_ns,load_duration_ns,prompt_eval_duration_ns,eval_duration_ns,error,gpu_avg_power_w,gpu_peak_power_w,gpu_avg_mem_mib,gpu_peak_mem_mib,gpu_avg_util_pct,gpu_energy_wh,gpu_n_samples
llama3.1:8b,b39624d6c38a,10999,1062,True,2.8515377044677734,2229.0,94.0,2844351045.0,110793230.0,409268536.0,1247445548.0,,100.53454545454544,135.05,10784.90909090909,10786.0,56.54545454545455,0.07937136142783695,11
llama3.1:8b,8581e74341ad,11985,2048,True,2.069999933242798,2490.0,77.0,2061726069.0,90748756.0,122496340.0,1024809860.0,,109.515,111.83,10787.75,10788.0,58.875,0.05837933488819334,8
llama3.1:8b,03c55a425a95,10984,1047,True,2.1183643341064453,2266.0,81.0,2111878341.0,97367524.0,67579489.0,1075328412.0,,110.05125,110.67,10788.0,10788.0,58.5,0.058775573530130916,8
llama3.1:8b,8d8ab7ed834f,11984,2047,True,2.15266752243042,2501.0,81.0,2150199056.0,89480907.0,119078667.0,1079898615.0,,111.7675,113.2,10788.0,10788.0,59.875,0.059747509427865345,8
llama3.1:8b,ff6fb1e2be19,11347,1410,True,3.1225779056549072,2391.0,121.0,3119689987.0,74818986.0,104086791.0,1614801817.0,,110.57083333333334,112.37,10788.0,10788.0,56.333333333333336,0.09270243283443982,12
llama3.1:8b,44cb9ddc20a6,11317,1380,True,3.4327895641326904,2333.0,134.0,3420039904.0,87057059.0,87539283.0,1790414367.0,,110.89999999999999,113.07,10789.23076923077,10790.0,56.92307692307692,0.10166293534338475,13
llama3.1:8b,5194c7c1714e,11056,1119,True,2.6012825965881348,2375.0,102.0,2598806293.0,75311907.0,90006130.0,1359146384.0,,112.13,113.18,10790.0,10790.0,54.9,0.07683460371957886,10
llama3.1:8b,ff153d55d5fd,10870,933,True,2.318572998046875,2247.0,90.0,2316125297.0,105413561.0,67444951.0,1194840512.0,,111.54777777777778,112.79,10790.0,10790.0,55.77777777777778,0.06833755363987552,9
llama3.1:8b,a3d6daa1a396,10640,703,True,2.9838011264801025,2180.0,120.0,2976007000.0,72663052.0,51503085.0,1591827969.0,,111.9618181818182,113.7,10790.0,10790.0,56.18181818181818,0.08539131225579316,11
llama3.1:8b,eaf6d52d5457,12403,2466,True,2.3902032375335693,2608.0,90.0,2377043590.0,78994205.0,142359833.0,1206010189.0,,114.55888888888889,117.38,10790.0,10790.0,58.888888888888886,0.07022671624422074,9
llama3.1:8b,11e601dd40d6,11501,1564,True,1.8603150844573975,2371.0,71.0,1857735368.0,85962104.0,92519037.0,942291444.0,,113.36714285714287,114.36,10790.0,10790.0,55.857142857142854,0.05190064648091794,7
llama3.1:8b,ca6e200d678b,11522,1585,True,3.4784085750579834,2475.0,135.0,3475725324.0,77041610.0,120225329.0,1808712118.0,,113.74000000000001,117.94,10790.0,10790.0,58.61538461538461,0.10406451523469555,13
llama3.1:8b,3f68844ce318,10552,615,True,2.7956724166870117,2175.0,110.0,2785305595.0,78848723.0,57135568.0,1458208537.0,,112.43,114.45,10790.0,10790.0,54.72727272727273,0.08559819927745395,11
llama3.1:8b,c21a0b99e259,11506,1569,True,3.3739781379699707,2342.0,134.0,3371428558.0,73614936.0,87596225.0,1790609247.0,,114.37384615384616,115.2,10790.0,10790.0,56.23076923076923,0.10433130884733463,13
llama3.1:8b,dbde52e667aa,11204,1267,True,2.5858428478240967,2349.0,101.0,2578959316.0,85359135.0,86470383.0,1345933998.0,,115.056,115.77,10790.0,10790.0,55.8,0.07875657320519289,10
llama3.1:8b,01a70dbf979d,11937,2000,True,3.4340500831604004,2473.0,135.0,3431644851.0,77333169.0,116759823.0,1808278104.0,,116.58307692307692,118.8,10790.0,10790.0,56.0,0.10674990641772747,13
llama3.1:8b,733ba5fc919b,10628,691,True,3.053450345993042,2215.0,122.0,3050976891.0,80847905.0,59246851.0,1622318623.0,,115.24166666666667,116.5,10790.0,10790.0,55.083333333333336,0.09667133829229407,12
llama3.1:8b,6d34726fa878,12017,2080,True,2.7526063919067383,2554.0,105.0,2749941835.0,83051874.0,127089555.0,1409322097.0,,116.86181818181818,119.35,10790.0,10790.0,59.72727272727273,0.08880566604302989,11
llama3.1:8b,82b2779f08ea,13274,3337,True,3.19661808013916,2812.0,121.0,3193624250.0,85456812.0,178385204.0,1636990898.0,,118.27166666666666,122.89,10790.0,10790.0,58.75,0.09907641610867447,12
llama3.1:8b,23aa02497362,11808,1871,True,3.085099458694458,2439.0,120.0,3082640366.0,81250858.0,101259153.0,1602034680.0,,115.95666666666669,118.53,10790.0,10790.0,57.0,0.09708195971945921,12
qwen2.5:14b,b39624d6c38a,10999,1062,True,3.7668943405151367,2250.0,81.0,3760745485.0,67019035.0,774958646.0,1940163550.0,,131.29071428571427,181.25,16629.285714285714,16632.0,71.21428571428571,0.13385379304620953,14
qwen2.5:14b,8581e74341ad,11985,2048,True,4.108676433563232,2510.0,105.0,4096926250.0,81933766.0,222171033.0,2539506055.0,,135.65733333333336,139.98,16632.0,16632.0,68.46666666666667,0.14531977418131298,15
qwen2.5:14b,03c55a425a95,10984,1047,True,3.353625774383545,2287.0,88.0,3347578455.0,72956447.0,126562030.0,2116289032.0,,134.93307692307692,137.13,16632.0,16632.0,68.46153846153847,0.12399352079927922,13
qwen2.5:14b,8d8ab7ed834f,11984,2047,True,5.090577125549316,2539.0,132.0,5082274391.0,58594271.0,234136324.0,3205700191.0,,136.89210526315787,140.13,16632.0,16632.0,68.52631578947368,0.1886869355466631,19
qwen2.5:14b,ff6fb1e2be19,11347,1410,True,3.2367403507232666,2409.0,83.0,3227696710.0,70789270.0,187561223.0,1996277650.0,,137.19166666666666,138.53,16632.0,16632.0,70.41666666666667,0.11578363404803803,12
qwen2.5:14b,44cb9ddc20a6,11317,1380,True,4.817286729812622,2356.0,127.0,4811347786.0,61089041.0,169314165.0,3067021100.0,,137.3688888888889,138.38,16632.0,16632.0,69.33333333333333,0.17885014051496986,18
qwen2.5:14b,5194c7c1714e,11056,1119,True,3.2480216026306152,2413.0,83.0,3242088850.0,68088495.0,187507420.0,1996621712.0,,137.63500000000002,139.39,16632.0,16632.0,69.0,0.11627843224273787,12
qwen2.5:14b,ff153d55d5fd,10870,933,True,4.0372209548950195,2276.0,106.0,4030989308.0,69878647.0,122716803.0,2552580118.0,,137.62733333333335,139.26,16633.066666666666,16634.0,69.06666666666666,0.14756510668562517,15
qwen2.5:14b,a3d6daa1a396,10640,703,True,3.802276611328125,2202.0,102.0,3796477738.0,57688694.0,97334140.0,2441313436.0,,138.13642857142858,139.57,16634.0,16634.0,66.57142857142857,0.13781587890585265,14
qwen2.5:14b,eaf6d52d5457,12403,2466,True,3.514127254486084,2666.0,88.0,3507594387.0,59807754.0,276577922.0,2129907078.0,,141.4830769230769,149.17,16634.0,16634.0,68.15384615384616,0.13113040769298873,13
qwen2.5:14b,11e601dd40d6,11501,1564,True,3.705880641937256,2407.0,96.0,3699685948.0,59970973.0,185485967.0,2314628263.0,,140.7792857142857,146.21,16634.0,16634.0,69.07142857142857,0.14070086825456887,14
qwen2.5:14b,ca6e200d678b,11522,1585,True,4.123090744018555,2515.0,106.0,4116832415.0,62579462.0,225918146.0,2566213588.0,,140.08866666666668,144.56,16634.0,16634.0,69.4,0.15037542399830292,15
qwen2.5:14b,3f68844ce318,10552,615,True,3.9100217819213867,2197.0,104.0,3904242621.0,64429273.0,94797282.0,2489856616.0,,138.35466666666665,140.66,16634.0,16634.0,67.06666666666666,0.1493036146610975,15
qwen2.5:14b,c21a0b99e259,11506,1569,True,4.375990629196167,2367.0,115.0,4369599835.0,72186104.0,165584213.0,2775174364.0,,140.55499999999998,142.27,16634.0,16634.0,68.625,0.16154671220481395,16
qwen2.5:14b,dbde52e667aa,11204,1267,True,4.287903308868408,2381.0,113.0,4281620788.0,58129336.0,167279038.0,2727323688.0,,141.27,144.63,16634.0,16634.0,68.125,0.16293055141170817,16
qwen2.5:14b,01a70dbf979d,11937,2000,True,3.8374907970428467,2520.0,98.0,3831231803.0,77297756.0,230511272.0,2370026888.0,,141.8114285714286,144.96,16634.0,16634.0,69.0,0.1418292065027687,14
qwen2.5:14b,733ba5fc919b,10628,691,True,4.835376262664795,2238.0,130.0,4829544397.0,60686977.0,114780862.0,3129528231.0,,140.28277777777777,142.15,16634.0,16634.0,68.44444444444444,0.18283084726598528,18
qwen2.5:14b,6d34726fa878,12017,2080,True,4.015888929367065,2581.0,103.0,4009699654.0,58216361.0,249249916.0,2496243507.0,,142.94733333333335,148.27,16634.0,16634.0,69.73333333333333,0.15346218034293918,15
qwen2.5:14b,82b2779f08ea,13274,3337,True,5.0921595096588135,2877.0,128.0,5085205268.0,81831299.0,355125073.0,3121305848.0,,144.1047368421053,153.0,16634.0,16634.0,70.78947368421052,0.19855376195079746,19
qwen2.5:14b,23aa02497362,11808,1871,True,4.530715703964233,2464.0,118.0,4524396594.0,81404661.0,189449036.0,2853257640.0,,141.73764705882354,144.02,16634.0,16634.0,69.17647058823529,0.1742312072197596,17
gemma4:26b,b39624d6c38a,10999,1062,True,1.2752790451049805,,,,,,,,87.15,144.52,20840.0,20840.0,57.4,0.025940605209271116,5
gemma4:26b,8581e74341ad,11985,2048,True,2.146897315979004,2503.0,149.0,2138644708.0,154202613.0,173287906.0,1539179509.0,,145.02375,160.99,20841.5,20842.0,77.0,0.07661576788855923,8
gemma4:26b,03c55a425a95,10984,1047,True,0.8221175670623779,,,,,,,,131.355,149.39,20842.0,20842.0,69.0,0.029602446353766652,4
gemma4:26b,8d8ab7ed834f,11984,2047,True,0.8715264797210693,,,,,,,,126.0625,134.96,20842.0,20842.0,71.0,0.028477791656719313,4
gemma4:26b,ff6fb1e2be19,11347,1410,True,0.8443841934204102,,,,,,,,130.62,135.65,20842.0,20842.0,70.0,0.029587678539752957,4
gemma4:26b,44cb9ddc20a6,11317,1380,True,0.8331398963928223,,,,,,,,127.895,135.01,20842.0,20842.0,70.75,0.028774360952774684,4
gemma4:26b,5194c7c1714e,11056,1119,False,600.1004071235657,,,,,,,TimeoutError: timed out,155.19102575896972,159.82,20842.0,20842.0,93.95308187672494,25.860489609715053,2174
gemma4:26b,ff153d55d5fd,10870,933,False,600.0124716758728,,,,,,,TimeoutError: timed out,150.54912683823537,168.78,20842.0,20842.0,94.33777573529412,25.088405445260182,2176
gemma4:26b,a3d6daa1a396,10640,703,True,2.6639366149902344,2206.0,150.0,2655953796.0,172576217.0,541108761.0,1680597067.0,,149.95599999999996,166.87,20843.4,20844.0,81.9,0.1027026532434755,10
gemma4:26b,eaf6d52d5457,12403,2466,True,1.4234695434570312,,,,,,,,134.99833333333333,153.46,20844.0,20844.0,72.33333333333333,0.05032642154230011,6
gemma4:26b,11e601dd40d6,11501,1564,False,600.1004621982574,,,,,,,TimeoutError: timed out,150.9324862132353,151.91,20844.0,20844.0,94.3685661764706,25.151334665830564,2176
gemma4:26b,ca6e200d678b,11522,1585,False,600.0996315479279,,,,,,,TimeoutError: timed out,151.06304227941223,174.45,20844.0,20844.0,94.37270220588235,25.173440847723672,2176
gemma4:26b,3f68844ce318,10552,615,True,1.2845830917358398,,,,,,,,146.51799999999997,153.82,20844.0,20844.0,72.2,0.044303597891661856,5
gemma4:26b,c21a0b99e259,11506,1569,False,600.0111544132233,,,,,,,TimeoutError: timed out,150.874464367816,162.89,20844.0,20844.0,94.33379310344827,25.13581966191392,2175
gemma4:26b,dbde52e667aa,11204,1267,True,1.3499095439910889,,,,,,,,146.33800000000002,155.59,20844.0,20844.0,77.4,0.044025574876202477,5
gemma4:26b,01a70dbf979d,11937,2000,True,2.1910040378570557,,,,,,,,138.36499999999998,172.11,20844.0,20844.0,71.125,0.07322112231122124,8
gemma4:26b,733ba5fc919b,10628,691,True,0.8511996269226074,,,,,,,,124.29249999999999,133.08,20844.0,20844.0,70.5,0.027959912821650508,4
gemma4:26b,6d34726fa878,12017,2080,False,600.1004657745361,,,,,,,TimeoutError: timed out,150.71290900735283,155.01,20844.0,20844.0,94.35064338235294,25.120066306855637,2176
gemma4:26b,82b2779f08ea,13274,3337,True,1.4684505462646484,,,,,,,,150.83666666666667,178.43,20844.0,20844.0,75.83333333333333,0.05626841684016916,6
gemma4:26b,23aa02497362,11808,1871,True,6.935433626174927,,,,,,,,148.22461538461536,175.14,20844.0,20844.0,89.46153846153847,0.28255713552633926,26
